key,mode
C#,Major
F#,Minor
C,Minor
C#,Major
F,Major
C#,Major
C#,Major
F#,Major
C,Major
G,Major
E,Minor
C,Major
F#,Minor
D#,Major
G,Major
G#,Major
D,Major
E,Major
D,Major
C#,Major
C,Major
D,Major
C,Major
C,Major
F,Major
A#,Minor
G#,Major
G,Minor
G#,Major
A,Minor
C,Major
B,Minor
C,Minor
A#,Major
E,Minor
G#,Major
A,Major
E,Major
D#,Major
G,Major
B,Major
A,Minor
G#,Major
A,Minor
G,Major
C,Major
A,Major
E,Major
A#,Major
F,Major
A#,Major
C#,Major
G,Major
A#,Major
G#,Major
G#,Major
A,Major
A#,Major
A#,Major
E,Major
G,Major
F#,Major
A#,Major
E,Minor
G,Minor
B,Minor
C,Major
A#,Major
G,Major
F#,Minor
D,Major
D,Major
F,Major
E,Minor
F,Minor
G,Major
A,Major
C,Major
C,Minor
G,Major
F,Major
C,Major
F,Minor
D,Minor
G,Minor
G,Minor
G,Minor
F,Major
D,Major
C#,Major
A,Major
G,Major
C#,Minor
G#,Major
F,Minor
F,Major
F,Major
F,Minor
E,Minor
A#,Minor
D,Minor
F,Major
A#,Major
E,Major
G,Major
F,Major
F,Major
A,Major
G#,Major
D,Minor
G,Major
A,Minor
C#,Major
G,Major
F,Minor
G,Major
G#,Major
C,Major
A,Minor
E,Major
F,Major
B,Minor
E,Major
C#,Major
B,Minor
A#,Major
F,Major
A,Major
D,Major
B,Major
D#,Major
D#,Major
C,Major
D,Major
B,Minor
D,Minor
C,Minor
F,Minor
B,Minor
B,Minor
B,Minor
C,Minor
E,Minor
G,Minor
F,Minor
E,Major
G#,Major
A#,Minor
C#,Minor
C#,Major
F,Major
A,Major
B,Minor
F#,Minor
C#,Minor
C,Major
C,Minor
F,Major
G#,Major
F,Minor
G#,Major
F,Minor
C,Major
F,Minor
G#,Minor
A,Major
B,Major
G#,Minor
C,Major
B,Minor
C,Major
F#,Minor
C,Major
G,Major
E,Minor
F,Major
G,Major
A,Minor
B,Minor
G,Major
E,Major
G,Minor
B,Minor
E,Minor
F#,Minor
C#,Major
G,Major
G#,Minor
B,Minor
G,Major
D,Major
B,Minor
A,Minor
C#,Minor
D#,Minor
B,Major
C,Major
C#,Minor
G,Minor
B,Minor
C,Minor
G,Major
A,Major
A#,Major
F,Minor
C,Minor
E,Major
F,Major
F,Minor
C,Major
F,Major
C#,Minor
G#,Major
D,Major
A#,Minor
A#,Minor
C#,Major
F,Minor
B,Major
D#,Major
F,Minor
C#,Major
G#,Major
A#,Minor
E,Major
F#,Minor
F,Major
E,Major
A,Minor
C#,Major
G,Minor
A,Major
C,Minor
C#,Major
D,Major
A,Minor
D#,Minor
E,Major
E,Minor
C#,Major
C#,Minor
G#,Major
G#,Major
D,Major
F#,Major
D,Major
C,Minor
A#,Minor
F,Minor
E,Minor
C,Major
G#,Major
G#,Major
A#,Minor
A,Major
D,Minor
G#,Major
C,Major
F,Minor
C#,Major
F#,Major
F#,Minor
C#,Major
C,Major
G,Major
A,Minor
D,Major
E,Minor
B,Major
C#,Minor
E,Minor
C#,Minor
A#,Minor
F,Minor
E,Minor
G#,Minor
F,Major
A,Major
A,Minor
C,Major
A,Minor
F,Major
F,Major
G,Major
C#,Major
F,Major
F,Minor
C,Minor
G,Major
F#,Major
C,Major
C,Major
G,Major
A,Minor
G#,Major
C#,Major
E,Minor
D,Minor
D,Major
F,Minor
C#,Major
B,Minor
F,Major
C,Minor
C#,Major
C,Minor
F,Minor
D,Minor
G#,Major
E,Minor
C,Major
D,Minor
B,Major
F,Minor
G,Major
E,Major
A#,Major
E,Major
F,Major
