loudness,acousticness
-1.828,0.611
-5.559,0.246
-13.879,0.952
-12.178,0.703
-21.15,0.95
-14.97,0.749
-12.675,0.344
-8.949,0.939
-7.725,0.00104
-7.79,0.319
-17.239,0.921
-19.051,0.0383
-7.702,0.215
-11.966,0.958
-13.869,0.97
-15.55,0.548
-16.655,0.7
-4.986,0.488
-8.73,0.381
-5.203,0.161
-6.971,0.852
-12.359,0.513
-6.699,0.689
-10.472,0.669
-7.287,0.706
-22.212,0.882
-7.943,0.159
-7.678,0.864
-15.629,0.716
-10.217,0.184
-4.008,0.00323
-16.222,0.305
-12.508,0.922
-11.432,0.942
-10.732,0.123
-11.235,0.767
-6.746,0.164
-12.089,0.619
-14.06,0.932
-6.058,0.508
-15.603,0.649
-20.951,0.983
-15.267,0.934
-10.465,0.576
-8.904,0.751
-7.479,0.614
-6.85,0.0287
-5.438,0.285
-6.968,0.659
-16.44,0.581
-11.876,0.902
-9.149,0.386
-10.914,0.712
-9.099,0.917
-21.998,0.924
-22.731,0.967
-14.86,0.989
-12.646,0.728
-20.471,0.871
-4.337,0.126
-15.269,0.929
-14.199,0.455
-14.696,0.983
-11.581,0.733
-9.225,0.71
-7.995,0.0575
-6.352,0.667
-11.927,0.791
-14.391,0.334
-7.81,0.933
-15.397,0.48
-10.737,0.615
-17.031,0.979
-8.096,0.939
-16.156,0.695
-14.068,0.756
-6.823,0.91
-10.686,0.776
-12.506,0.715
-15.15,0.778
-5.584,0.398
-8.598,0.761
-15.703,0.616
-17.834,0.962
-8.535,0.611
-11.71,0.525
-9.841,0.876
-6.797,0.847
-8.672,0.66
-10.449,0.366
-14.082,0.357
-9.787,0.813
-6.523,0.345
-10.82,0.79
-7.819,0.0367
-9.086,0.744
-8.645,0.84
-4.17,0.844
-14.17,0.987
-5.814,0.414
-4.381,0.636
-13.312,0.951
-18.037,0.974
-10.8,0.523
-7.184,0.506
-8.745,0.726
-15.349,0.962
-9.52,0.407
-12.059,0.678
-9.02,0.9
-11.439,0.0488
-3.529,0.639
-10.82,0.619
-20.347,0.474
-15.622,0.529
-7.021,0.605
-5.847,0.228
-14.415,0.604
-7.628,0.463
-15.638,0.738
-17.038,0.743
-14.405,0.237
-13.879,0.629
-10.19,0.304
-12.981,0.63
-11.181,0.713
-8.41,0.741
-7.042,0.00759
-25.274,0.463
-13.774,0.78
-18.659,0.989
-9.759,0.89
-22.749,0.979
-16.343,0.987
-9.537,0.566
-5.922,0.083
-5.221,0.323
-5.237,0.0675
-6.896,0.36
-5.721,0.596
-13.073,0.661
-7.426,0.667
-11.165,0.975
-6.448,0.72
-7.577,0.0359
-9.37,0.735
-7.273,0.241
-4.547,0.0233
-7.176,0.0808
-11.31,0.288
-3.594,0.0174
-8.705,0.184
-4.587,0.458
-10.825,0.576
-9.044,0.775
-4.678,0.0759
-7.077,0.0306
-3.539,0.0703
-10.309,0.705
-4.45,0.00616
-2.528,0.41
-5.38,0.323
-6.71,0.426
-9.688,0.0193
-8.215,0.0727
-7.616,0.107
-6.049,0.46
-4.75,0.244
-7.741,0.153
-7.232,0.401
-5.962,0.552
-7.774,0.0332
-7.581,0.591
-11.446,0.391
-5.81,0.198
-9.313,0.53
-3.471,0.512
-10.144,0.366
-5.004,0.203
-6.417,0.00548
-8.244,0.0729
-5.403,0.0761
-4.332,0.305
-7.054,0.682
-7.401,0.313
-6.526,0.0227
-4.634,0.0101
-8.656,0.575
-5.84,0.0163
-10.446,0.64
-3.977,0.15
-11.887,0.865
-4.959,0.611
-7.042,0.447
-3.77,0.181
-5.43,0.0053
-9.309,0.0253
-7.522,0.0983
-6.955,0.0431
-6.446,0.0234
-5.194,0.023
-4.905,0.004
-4.02,0.128
-3.535,0.0104
-6.389,0.0978
-7.399,0.0895
-6.386,0.0523
-8.216,0.215
-6.239,0.31
-6.397,0.0236
-7.962,0.619
-8.925,0.0167
-7.526,0.261
-7.982,0.779
-3.934,0.104
-11.802,0.465
-6.491,0.121
-12.078,0.019
-6.156,0.571
-6.351,0.852
-4.431,0.0353
-11.306,0.00888
-12.353,0.723
-7.77,0.261
-7.054,0.362
-4.825,0.00778
-5.73,0.308
-8.261,0.558
-8.714,0.672
-5.587,0.092
-5.776,0.0379
-10.316,0.0076
-7.269,0.38
-4.877,0.0658
-10.951,0.849
-10.404,0.856
-9.995,0.725
-6.506,0.186
-8.134,0.748
-8.101,0.064
-4.982,0.0308
-3.96,0.161
-3.842,0.591
-6.062,0.0322
-3.099,0.236
-5.857,0.228
-13.056,0.472
-5.435,0.182
-4.245,0.0358
-6.714,0.0339
-6.099,0.00541
-6.863,0.176
-6.417,0.265
-7.187,0.364
-5.844,0.277
-8.346,0.00648
-7.647,0.000582
-2.474,0.0716
-5.702,0.257
-7.674,0.0586
-7.007,0.21
-3.864,0.028
-7.689,0.254
-6.666,0.258
-11.319,0.449
-15.271,0.855
-5.192,0.0646
-4.996,0.112
-6.051,0.717
-4.736,0.0165
-10.361,0.886
-6.15,0.0871
-5.097,0.388
-5.717,0.0116
-10.21,0.47
-10.614,0.418
-8.636,0.19
-7.684,0.779
-5.483,0.0424
-6.512,0.0103
-9.057,0.647
-18.145,0.993
-16.153,0.959
-20.735,0.88
-11.6,0.502
-16.57,0.977
-13.175,0.602
-13.97,0.99
-12.247,0.317
-4.107,0.445
-8.735,0.533
-22.977,0.939
-6.327,0.221
-21.678,0.879
-13.649,0.903
-24.515,0.992
-7.559,0.28
-17.752,0.976
-4.075,0.126
-7.409,0.592
-22.993,0.992
-15.927,0.974
-15.088,0.994
-7.906,0.952
-17.01,0.247
-8.439,0.591
-21.688,0.0575
-7.005,0.8
-17.351,0.616
-8.516,0.316
-9.525,0.219
-19.505,0.981
-7.704,0.6
-6.047,0.688
-15.17,0.994
-9.339,0.634
-8.063,0.864
-18.111,0.899
-8.617,0.875
-15.865,0.737
-10.763,0.672
-8.158,0.74
-13.991,0.933
-8.111,0.11
-15.373,0.928
-12.213,0.765
-16.001,0.535
-8.369,0.224
-14.549,0.617
-6.8,0.648
-7.253,0.4
-5.32,0.655
-20.824,0.895
-6.64,0.645
-14.69,0.991
-12.671,0.945
-10.034,0.856
-9.367,0.976
-23.948,0.995
-6.314,0.00187
-13.417,0.498
-16.503,0.992
-17.02,0.942
-6.733,0.0533
-15.033,0.942
-8.223,0.585
-7.944,0.921
-10.703,0.766
-4.656,0.483
-22.565,0.789
-7.35,0.649
-14.248,0.981
-9.685,0.264
-14.093,0.804
-8.153,0.89
-14.792,0.961
-4.74,0.507
-11.432,0.925
-8.067,0.983
-5.425,0.00081
-11.69,0.553
-11.15,0.793
-12.045,0.913
-8.313,0.874
-23.963,0.995
-8.737,0.114
-8.015,0.341
-16.449,0.756
-5.769,0.388
-15.032,0.801
-12.434,0.0238
-6.14,0.0309
-17.101,0.989
-10.505,0.911
-11.135,0.618
-8.039,0.279
-9.338,0.903
-12.794,0.538
-18.961,0.96
-12.425,0.931
-9.599,0.932
-10.554,0.526
-18.04,0.637
-12.995,0.108
-11.23,0.987
-8.886,0.126
-6.378,0.298
-16.59,0.317
-7.69,0.0381
-4.171,0.0678
-11.671,0.74
-13.757,0.845
-10.302,0.972
-6.677,0.901
-10.312,0.732
-22.171,0.909
-15.099,0.956
-11.242,0.709
-12.269,0.5
-16.081,0.991
-19.101,0.67
-15.182,0.983
-9.446,0.906
-11.723,0.89
-19.07,0.987
-13.713,0.925
-12.372,0.455
-5.741,0.00506
-6.403,0.476
-11.774,0.827
-16.159,0.955
-13.637,0.578
-24.691,0.96
-13.689,0.891
-6.015,0.156
-9.707,0.463
-9.314,0.674
-6.653,0.0682
-10.655,0.509
-11.979,0.945
-8.886,0.871
-5.803,0.616
-6.795,0.2
-7.585,0.654
-13.706,0.804
-6.233,0.368
-20.313,0.987
-24.453,0.982
-22.111,0.904
-12.337,0.698
-18.161,0.944
-13.239,0.207
-6.759,0.244
-6.087,0.308
-10.578,0.399
-3.411,0.591
-17.383,0.6
-6.021,0.301
-10.001,0.0468
-7.638,0.569
-24.292,0.946
-5.943,0.804
-5.403,0.181
-9.165,0.957
-8.59,0.871
-5.681,0.0492
-7.979,0.301
-10.145,0.0531
-5.694,0.468
-13.486,0.924
-9.972,0.764
-6.859,0.619
-6.059,0.463
-11.924,0.989
-13.415,0.814
-8.941,0.77
-11.194,0.989
-18.699,0.761
-15.393,0.983
-10.602,0.862
-14.896,0.745
-10.681,0.988
-13.416,0.512
-6.118,0.517
-6.243,0.326
-17.002,0.545
-7.923,0.00255
-8.339,0.57
-11.88,0.698
-17.04,0.908
-9.444,0.885
-9.817,0.909
